iter	Passed	Remaining
0	1	108
1	2	113
2	3	103
3	3	91
4	4	91
5	5	89
6	6	88
7	7	86
8	8	85
9	9	83
10	10	82
11	11	81
12	12	80
13	12	79
14	13	77
15	14	76
16	15	76
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	70
23	21	69
24	22	68
25	23	68
26	25	67
27	26	67
28	28	69
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	50
47	45	49
48	46	48
49	47	47
50	48	46
51	50	46
52	51	45
53	51	44
54	52	42
55	54	42
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	60	37
62	61	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	94	0
99	95	0
